id,name,followers,popularity
0the010DefMWjq0TsVNejz,Tanzverbot,13468,36
74pYbw2hCJjXyYitTfyT9F,NARU,13829,52
41g2y82Z8CADYGlzujOzKp,Some Sprouts,15176,48
0nSloWzkGWXwj1v8nOI0Ma,Teesy,45192,51
74yjU6gHx05PeHAokao6DS,NUGAT,15457,53
2IjiuEObrCKyZvSb8xLxG9,filous,109668,62
2DROUS508UCfEbMwsCg66f,TRILE,10278,42
0aZu9zUfF2EgTHyBbZlW1C,LGoony,57044,50
0n1kV1G3NQrfuLGJosIGxb,Longus Mongus,46185,66
41LLNWUptvfbQ9Q7oCefmg,Genetikk,423673,64
0lFLP59V4TY3XgnrkFIwxK,Katja Krasavice,293146,64
2p0kGyCDXwJJ424GAPvRo9,An Tagen wie diesen,5968,31
4fgkWzLMWyQHGBG70gLfIC,Chima Ede,15354,36
2N8J8EbfItu0y4T2EFtMLC,KiiBeats,7134,36
3k5fmZ4mSIJM5NP93dEt3L,Eazim,10942,49
3Wdd5UHBNodOGczzLmJjQm,Angellina,15682,42
0a7ReNgiORz9sEajzbbmqw,Spirit,7354,54
4R0FKprdEeUIbzAwhrYTv2,Elias,146741,60
4A7HeXSd4HtQuf6IR5XZ1b,Fero47,411347,60
6wlk4iqaEgEvADMVG6QMd8,James Gillespie,52756,54
53xt77SWSCBxurJQWuxUkM,Johnny O'Keefe,16942,31
3UmfCgpdKzg2WTa6453o4E,Ol' 55,10854,29
3XGBZeimYdPt1rLdy0JqrQ,Billy Thorpe,8258,34
4cpMQdcPKsbw2SaTjGazQf,Radio Birdman,27296,35
78n9nsu9Z5URFwrV32Wokk,THE SPORTS,6024,30
0aRJShMkUsHVCyCw5Klxj3,Do Re Mi,5099,24
3aAUu37qACrKr6h9eQyNVj,The Reels,5141,25
5ghiRwgyYZfnmC0Upu6ZtR,Machinations,6607,25
6jIVYCgMJgMtdqKO8pbMY3,Uncanny X-Men,10658,28
4mZlgrDsGRgWXy7T5ke3hP,Celibate Rifles,8106,27
2O7qtwbMUKIK1Va8EF48Pr,Kids In The Kitchen,11107,30
5Z7pOsavFP8sACkWxYHMW1,Big Pig,7409,31
1s64XtBG170B6uqwJDBGzc,The Party Boys,6785,28
5ydii9WwX1NPG6k5lrAb6m,Ratcat,11838,35
7DZDByO8dEuOb1V5JcJPfI,Brian Cadd,12965,32
6XCS9JCn56Q252cMOTbeq6,Dannii Minogue,80624,43
3l1Tuoqd0JXoaOrAiOyrB0,Deborah Conway,17010,37
09NEIWHdaWneBWsjYdDnwz,Custard,16676,35
7vZrzoDeKFqcZ9JrDThOBB,Pierce Brothers,27723,40
6E4eoLJTZYyIC5cZVg6fDx,Kate Ceberano,27869,37
1RNwrc6Yfn4mxT8RCnck0y,Weddings Parties Anything,12670,39
5sHPYevv4ykaH79HIHqBDP,Yothu Yindi,18279,40
5aVKsCIE4jsTKODYwjVVLK,Machine Gun Fellatio,29652,39
0kns2X0IFTXafgOGd2IlKJ,The Butterfly Effect,44220,41
5uKeKhwXi2w5cXdtoSaqjz,The Waifs,81801,48
7o9kdTx6RmO12iAVVsNehd,The Superjesus,35587,41
6eQ3AHw7yEVoX87xDS1ZiP,Killing Heidi,55634,44
1gqScLJ95gthFQ3TavIKSk,TISM,11736,37
1nCht41FuMcmG1FIoyjWCH,Taxiride,22918,43
14ERybNQCYthuN4NHM5uVe,Butterfingers,21624,40
21wuAm9OFJEeN7h3EozO0r,Kisschasy,23859,42
6KCfu2k3Nrrq9xiXt902pQ,Travis Sinclair,8760,37
3ni9LX95aVQksOuoHFEbEx,Reggie Watts,60387,44
5t69dnux4K2vcJO4VjS39q,REMI,25977,45
3CDzOX9D1buMRHeTNFHXMm,GANGgajang,40985,45
75jU2q0uEWzSIlqRJtedJV,Sarah Blasko,92590,48
7Lk3qnu0GGnvG33t23iz5k,Alex K,12276,42
6awzBEyEEwWHOjLox1DkLr,Girl Talk,173900,54
0tTLmQvo0tn8vYlpJpA2no,Thirsty Merc,68006,53
51K48NCxjB11t9eqUWWoIq,Youth Group,19660,46
4NS9MlKeWzcx3EWAj3hjDL,Sara Storer,12660,36
3h18aXqdmm2F13t6LIbTpq,Little Birdy,33717,37
2LyXoG111QdqfI0HLYQgvS,Bodyjar,27188,43
4LtYxILg8YPMwQjKnXb5kh,Archie Roach,21703,38
0RaO9p4AomXaVUXzV8SPVW,Faker,15412,41
